GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "96000","Southwest",6,SAGDP2N,1,"...","All industry total ","Millions of current dollars",875223.8,924988.0,977377.0,1054545.0,1106271.4,1134836.9,1204221.7,1313307.9,1431836.0,1570658.2,1687400.5,1760096.5,1654004.0,1746317.9,1867732.3,1965333.5,2078339.4,2168451.1,2163072.2,2169483.3,2286160.7,2464730.0,2544785.1,2477127.6,2849232.1,3246070.0,3456188.6
 "96000","Southwest",6,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",762226.2,807699.9,853270.6,922363.8,965492.6,983888.3,1044347.3,1146169.9,1254644.7,1383508.8,1488205.3,1549055.2,1433859.7,1516918.2,1636203.3,1728247.9,1834307.2,1918255.1,1902964.4,1900547.6,2007839.1,2176911.0,2248530.1,2165050.2,2524496.4,2905699.7,3092704.6
 "96000","Southwest",6,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",10356.6,9716.2,10511.3,10380.8,10296.4,11067.7,12664.2,15635.5,13862.1,11986.4,13554.8,11065.6,8979.7,14002.6,15019.5,14523.4,17217.1,17029.6,18531.4,15187.1,16534.7,15857.7,14512.9,12817.3,18482.4,17795.9,17121.9
 "96000","Southwest",6,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",8855.5,8100.4,8785.1,8632.7,8747.2,9485.0,11019.8,13907.4,12045.8,9763.0,11384.4,9009.5,6793.2,11711.2,12789.1,12209.0,14960.4,14567.9,15860.2,12426.7,13711.8,12901.4,11454.4,9552.5,15223.6,14416.8,(NA)
 "96000","Southwest",6,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",1501.1,1615.8,1726.3,1748.1,1549.3,1582.8,1644.4,1728.1,1816.3,2223.5,2170.4,2056.1,2186.5,2291.4,2230.3,2314.4,2256.7,2461.7,2671.3,2760.5,2822.9,2956.3,3058.5,3264.8,3258.8,3379.1,(NA)
 "96000","Southwest",6,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",44047.5,34210.6,37178.5,52745.8,62968.2,58263.7,76231.1,90519.6,124693.2,147106.0,172580.0,223094.9,142680.7,158287.0,189853.1,200159.2,231240.3,256536.9,154578.0,122685.6,156714.4,192993.9,181481.0,111623.2,201135.6,289424.0,248865.1
 "96000","Southwest",6,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",33489.0,23674.6,27292.6,41972.7,49340.3,47234.5,63838.0,75342.0,103274.9,114956.1,134963.3,179227.7,110570.1,121449.7,142274.4,149441.7,176445.3,191537.4,108607.1,93047.5,114181.0,138720.9,129704.9,75689.8,161586.4,240857.9,(NA)
 "96000","Southwest",6,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",3256.7,3196.9,3381.2,3186.7,2979.4,2806.4,3084.4,4027.0,5655.3,7529.3,8373.5,9364.9,8795.5,10162.8,11643.4,10938.0,10361.2,10228.2,8603.7,7397.7,9222.8,9120.8,9196.6,10579.5,13463.4,14537.3,(NA)
 "96000","Southwest",6,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",7301.8,7339.0,6504.7,7586.4,10648.5,8222.7,9308.6,11150.6,15763.0,24620.6,29243.2,34502.3,23315.2,26674.5,35935.3,39779.5,44433.7,54771.3,37367.2,22240.5,33310.6,45152.2,42579.5,25353.9,26085.7,34028.8,(NA)
 "96000","Southwest",6,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",21813.1,21085.7,23840.0,25427.9,27142.4,24543.7,25797.0,27004.5,27151.3,31650.1,32226.1,31864.3,32779.0,35592.9,38301.6,36664.0,37431.7,38309.5,38238.9,38951.2,40856.0,42695.6,44775.9,42587.0,51478.0,57527.2,57369.7
 "96000","Southwest",6,SAGDP2N,11,"23","  Construction ","Millions of current dollars",37574.5,43363.6,48183.1,54459.0,59006.6,60165.1,63128.2,65479.7,76274.0,88072.0,96623.7,92529.7,81164.6,74859.2,75961.2,82729.9,88832.8,96818.3,103880.3,109541.6,114912.3,119499.6,129827.8,131777.0,138132.9,151131.5,168094.5
 "96000","Southwest",6,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",147879.1,148965.8,145524.2,148639.1,145852.4,143451.8,153603.5,185677.8,188592.8,214312.1,228278.8,210647.5,197326.1,219399.9,249771.3,251415.2,261846.4,240568.8,248135.2,231933.0,244689.5,284471.4,267412.8,237209.6,277423.0,331319.1,361778.7
 "96000","Southwest",6,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",91539.6,93171.6,90252.3,94281.2,85199.0,85965.6,90439.4,101035.4,103993.4,117783.7,118781.9,121598.8,108921.4,114843.6,126045.6,126724.0,130208.6,133495.9,129364.8,128488.8,131538.6,144276.2,145224.7,136082.6,140587.2,159019.6,174300.3
 "96000","Southwest",6,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",1849.3,2110.7,2261.0,2063.7,2004.4,1994.9,2099.3,2242.5,2443.3,2304.9,2091.3,1931.3,1770.5,1619.6,1658.1,1924.7,2130.7,2122.6,2039.8,2563.8,2541.3,2675.2,2521.2,2943.8,3889.2,4243.6,(NA)
