GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "98000","Far West",8,SAGDP3N,1,"...","All industry total ","Thousands of dollars",97621530,102128728,107605630,115848020,111351461,125680203,129097790,141197854,151137503,165739490,175066526,188408284,174931060,182371355,194267517,194579543,207533304,217381530,228170946,233293145,244251120,267021822,296361802,196913872,246491435,337760380
 "98000","Far West",8,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",100636994,104633257,110271955,118296388,113944758,128754006,132374302,144671904,154657702,169382105,178776460,192109372,179284785,186699235,198574137,198504859,211562120,221741608,232485303,238073929,249028736,272117803,301796161,206676330,257231279,350844643
 "98000","Far West",8,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",609935,262994,101549,-32395,-189682,62491,72043,381107,158287,508534,700449,1024217,726061,896834,1254998,1313735,1477110,1636762,1370897,1257320,1538637,1572899,1443268,-3482890,9696,1853974
 "98000","Far West",8,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",205693,-85397,-278492,-433984,-548200,-263555,-299700,33334,-247747,47779,152285,302232,188964,257919,508165,555072,650751,843509,671004,564566,756763,649857,498718,-3598239,-803467,432892
 "98000","Far West",8,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",404242,348391,380041,401589,358518,326046,371743,347773,406034,460755,548165,721985,537098,638915,746832,758663,826359,793254,699893,692753,781874,923042,944550,115350,813163,1421082
 "98000","Far West",8,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1933750,1439946,1312443,1757290,1737065,1550234,1713820,2070493,2572640,3135314,4987417,10576942,4816239,6024621,7351174,7984942,8413169,5878427,3475357,3618171,3241342,3836869,3445524,2860193,3649456,4723710
 "98000","Far West",8,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",1637863,1145351,1016409,1440458,1446076,1277208,1437988,1777578,2260107,2785987,4563850,10077173,4281800,5368425,6530434,7147647,7518688,5140793,2823390,2931948,2539497,2989280,2643179,2115692,2489665,3135649
 "98000","Far West",8,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",210214,204237,214733,223310,212772,199856,208357,223959,240757,259635,316981,359800,379684,497711,654201,660724,716240,540169,475717,503320,538678,704327,646982,613063,1029538,1413131
 "98000","Far West",8,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",85673,90358,81300,93522,78217,73170,67475,68956,71775,89693,106585,139970,154755,158485,166538,176571,178242,197464,176250,182904,163167,143263,155363,131438,130254,174931
 "98000","Far West",8,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",4309089,4473813,4621002,4860625,-1936512,5225385,6132554,6247031,6550097,7359448,8314480,8885502,9189530,9351125,9500273,9378132,9444295,9498289,9787528,10270838,10801023,11069433,11597461,11915241,12250351,13691183
 "98000","Far West",8,SAGDP3N,11,"23","  Construction ","Thousands of dollars",858550,952620,1035577,1159974,1219867,1304962,1344080,1594085,1721337,1811751,1896177,1952616,1735769,1617711,1596406,1669080,1826392,1945244,2159047,2347031,2442448,2717469,3042777,-4841169,-363862,3724531
 "98000","Far West",8,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",5505886,5775585,5993543,6707293,6686804,7099448,7157104,7703901,8169534,8700405,9272032,10376909,11147996,10773883,11158640,11253018,12296655,12736426,13492939,13479750,13988922,14657863,15448102,8695723,13039519,17922284
 "98000","Far West",8,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2344375,2536397,2712827,3023091,3170674,3245786,3244902,3461236,3500861,3743368,4173405,4743374,4829348,4733594,4728326,4657930,5297600,5678127,5942950,5819383,6031620,6469389,6959781,3154686,5859606,8747865
 "98000","Far West",8,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",109902,110162,110510,118238,97160,100849,102272,116233,123504,130057,136037,142749,133572,132852,124739,126556,133039,135692,138986,143355,143982,153261,165061,-60023,84356,193060
 "98000","Far West",8,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",94079,99781,102796,109180,103949,113116,117395,131812,135822,144739,163184,181921,178880,166828,161645,157197,159656,169783,180062,192924,195682,211639,225844,33763,142114,261133
